line number,contest name,party name,total votes
9,US HOUSE OF REPRESENTATIVES DISTRICT 1 (Vote For 1),DEM,192765
10,US HOUSE OF REPRESENTATIVES DISTRICT 1 (Vote For 1),REP,81506
12,US HOUSE OF REPRESENTATIVES DISTRICT 2 (Vote For 1),DEM,199730
13,US HOUSE OF REPRESENTATIVES DISTRICT 2 (Vote For 1),REP,93323
15,US HOUSE OF REPRESENTATIVES DISTRICT 3 (Vote For 1),DEM,104364
16,US HOUSE OF REPRESENTATIVES DISTRICT 3 (Vote For 1),REP,201686
17,US HOUSE OF REPRESENTATIVES DISTRICT 4 (Vote For 1),DEM,265751
18,US HOUSE OF REPRESENTATIVES DISTRICT 4 (Vote For 1),REP,153947
19,US HOUSE OF REPRESENTATIVES DISTRICT 5 (Vote For 1),DEM,136103
20,US HOUSE OF REPRESENTATIVES DISTRICT 5 (Vote For 1),REP,190820
21,US HOUSE OF REPRESENTATIVES DISTRICT 6 (Vote For 1),DEM,108873
22,US HOUSE OF REPRESENTATIVES DISTRICT 6 (Vote For 1),REP,221018
23,US HOUSE OF REPRESENTATIVES DISTRICT 7 (Vote For 1),DEM,215383
24,US HOUSE OF REPRESENTATIVES DISTRICT 7 (Vote For 1),REP,97472
25,US HOUSE OF REPRESENTATIVES DISTRICT 8 (Vote For 1),DEM,157185
26,US HOUSE OF REPRESENTATIVES DISTRICT 8 (Vote For 1),REP,126634
29,US HOUSE OF REPRESENTATIVES DISTRICT 9 (Vote For 1),DEM,138719
30,US HOUSE OF REPRESENTATIVES DISTRICT 9 (Vote For 1),REP,241053
32,US HOUSE OF REPRESENTATIVES DISTRICT 10 (Vote For 1),DEM,126699
33,US HOUSE OF REPRESENTATIVES DISTRICT 10 (Vote For 1),REP,171774
34,US HOUSE OF REPRESENTATIVES DISTRICT 11 (Vote For 1),DEM,211112
35,US HOUSE OF REPRESENTATIVES DISTRICT 11 (Vote For 1),REP,122087
36,US HOUSE OF REPRESENTATIVES DISTRICT 12 (Vote For 1),DEM,215908
37,US HOUSE OF REPRESENTATIVES DISTRICT 12 (Vote For 1),REP,85814
38,US HOUSE OF REPRESENTATIVES DISTRICT 13 (Vote For 1),DEM,221379
39,US HOUSE OF REPRESENTATIVES DISTRICT 13 (Vote For 1),REP,114383
