line number,contest name,party name,total votes
9,US HOUSE OF REPRESENTATIVES DISTRICT 1 (Vote For 1),DEM,154333
10,US HOUSE OF REPRESENTATIVES DISTRICT 1 (Vote For 1),REP,55990
12,US HOUSE OF REPRESENTATIVES DISTRICT 2 (Vote For 1),DEM,85479
13,US HOUSE OF REPRESENTATIVES DISTRICT 2 (Vote For 1),REP,122128
15,US HOUSE OF REPRESENTATIVES DISTRICT 3 (Vote For 1),DEM,66182
16,US HOUSE OF REPRESENTATIVES DISTRICT 3 (Vote For 1),REP,139415
17,US HOUSE OF REPRESENTATIVES DISTRICT 4 (Vote For 1),DEM,169946
18,US HOUSE OF REPRESENTATIVES DISTRICT 4 (Vote For 1),REP,57416
19,US HOUSE OF REPRESENTATIVES DISTRICT 5 (Vote For 1),DEM,88973
20,US HOUSE OF REPRESENTATIVES DISTRICT 5 (Vote For 1),REP,139279
21,US HOUSE OF REPRESENTATIVES DISTRICT 6 (Vote For 1),DEM,103758
22,US HOUSE OF REPRESENTATIVES DISTRICT 6 (Vote For 1),REP,147312
23,US HOUSE OF REPRESENTATIVES DISTRICT 7 (Vote For 1),DEM,84054
24,US HOUSE OF REPRESENTATIVES DISTRICT 7 (Vote For 1),REP,134431
25,US HOUSE OF REPRESENTATIVES DISTRICT 8 (Vote For 1),DEM,65854
26,US HOUSE OF REPRESENTATIVES DISTRICT 8 (Vote For 1),REP,121568
29,US HOUSE OF REPRESENTATIVES DISTRICT 9 (Vote For 1),DEM,0
30,US HOUSE OF REPRESENTATIVES DISTRICT 9 (Vote For 1),REP,0
32,US HOUSE OF REPRESENTATIVES DISTRICT 10 (Vote For 1),DEM,85292
33,US HOUSE OF REPRESENTATIVES DISTRICT 10 (Vote For 1),REP,133504
34,US HOUSE OF REPRESENTATIVES DISTRICT 11 (Vote For 1),DEM,85342
35,US HOUSE OF REPRESENTATIVES DISTRICT 11 (Vote For 1),REP,144682
36,US HOUSE OF REPRESENTATIVES DISTRICT 12 (Vote For 1),DEM,130096
37,US HOUSE OF REPRESENTATIVES DISTRICT 12 (Vote For 1),REP,42568
38,US HOUSE OF REPRESENTATIVES DISTRICT 13 (Vote For 1),DEM,114718
39,US HOUSE OF REPRESENTATIVES DISTRICT 13 (Vote For 1),REP,153991
