line number,contest name,party name,total votes
9,US HOUSE OF REPRESENTATIVES DISTRICT 1 (Vote For 1),DEM,103294
10,US HOUSE OF REPRESENTATIVES DISTRICT 1 (Vote For 1),REP,70867
12,US HOUSE OF REPRESENTATIVES DISTRICT 2 (Vote For 1),DEM,92393
13,US HOUSE OF REPRESENTATIVES DISTRICT 2 (Vote For 1),REP,93876
15,US HOUSE OF REPRESENTATIVES DISTRICT 3 (Vote For 1),DEM,51317
16,US HOUSE OF REPRESENTATIVES DISTRICT 3 (Vote For 1),REP,143225
17,US HOUSE OF REPRESENTATIVES DISTRICT 4 (Vote For 1),DEM,155384
18,US HOUSE OF REPRESENTATIVES DISTRICT 4 (Vote For 1),REP,116448
19,US HOUSE OF REPRESENTATIVES DISTRICT 5 (Vote For 1),DEM,72762
20,US HOUSE OF REPRESENTATIVES DISTRICT 5 (Vote For 1),REP,140525
21,US HOUSE OF REPRESENTATIVES DISTRICT 6 (Vote For 1),DEM,51507
22,US HOUSE OF REPRESENTATIVES DISTRICT 6 (Vote For 1),REP,156252
23,US HOUSE OF REPRESENTATIVES DISTRICT 7 (Vote For 1),DEM,113957
24,US HOUSE OF REPRESENTATIVES DISTRICT 7 (Vote For 1),REP,98328
25,US HOUSE OF REPRESENTATIVES DISTRICT 8 (Vote For 1),DEM,88776
26,US HOUSE OF REPRESENTATIVES DISTRICT 8 (Vote For 1),REP,73129
29,US HOUSE OF REPRESENTATIVES DISTRICT 9 (Vote For 1),DEM,71450
30,US HOUSE OF REPRESENTATIVES DISTRICT 9 (Vote For 1),REP,158790
32,US HOUSE OF REPRESENTATIVES DISTRICT 10 (Vote For 1),DEM,52972
33,US HOUSE OF REPRESENTATIVES DISTRICT 10 (Vote For 1),REP,130813
34,US HOUSE OF REPRESENTATIVES DISTRICT 11 (Vote For 1),DEM,131225
35,US HOUSE OF REPRESENTATIVES DISTRICT 11 (Vote For 1),REP,110246
36,US HOUSE OF REPRESENTATIVES DISTRICT 12 (Vote For 1),DEM,103495
37,US HOUSE OF REPRESENTATIVES DISTRICT 12 (Vote For 1),REP,55315
38,US HOUSE OF REPRESENTATIVES DISTRICT 13 (Vote For 1),DEM,116103
39,US HOUSE OF REPRESENTATIVES DISTRICT 13 (Vote For 1),REP,93099
